id,name,github,domain,primary_domain,repositories,public_repos,total_stars,followers,following,org_repos_count,org_total_stars,org_total_forks,org_total_contributions,org_avg_stars_per_repo,avatar,bio,location,company
Andy1314Chen,john chen,https://github.com/Andy1314Chen,推荐系统;AI Agent;深度学习,AI Agent,hello-agents,38,20,12,36,1,61766,7617,1,61766.0,avatars/Andy1314Chen.jpg,,Hangzhou,
ditingdapeng,DaPeng,https://github.com/ditingdapeng,AI Agent;AI工具;大数据,AI Agent,hello-agents;self-llm;juicy-bigdata,44,107,14,12,3,93177,10703,5,31059.0,avatars/ditingdapeng.jpg,"Pursue excellence, and success will follow",,
megg-ops,Freya,https://github.com/megg-ops,AI Agent,AI Agent,hello-agents,8,7,4,12,1,61766,7617,1,61766.0,avatars/megg-ops.jpg,,,
Fuguidan,,https://github.com/Fuguidan,AI Agent,AI Agent,hello-agents,10,5,1,0,1,61766,7617,1,61766.0,avatars/Fuguidan.jpg,,,
splashthelight,HolmHuang,https://github.com/splashthelight,AI Agent,AI Agent,hello-agents,7,0,0,0,1,61766,7617,1,61766.0,avatars/splashthelight.jpg,I need to learn a lot...,,Southwest Jiaotong University
kkkano,Allen,https://github.com/kkkano,LLM;AI Agent;前端开发;RAG,AI Agent,hello-agents,45,69,9,30,1,61766,7617,1,61766.0,avatars/kkkano.jpg,,Guangzhou,Cpagemini
laoyouf,,https://github.com/laoyouf,AI Agent,AI Agent,hello-agents,2,0,0,0,1,61766,7617,1,61766.0,avatars/laoyouf.jpg,,,
lcyting,lcy,https://github.com/lcyting,AI Agent,AI Agent,hello-agents,8,16,2,0,1,61766,7617,1,61766.0,avatars/lcyting.jpg,,,
lll0807,Lin Mingxuan,https://github.com/lll0807,AI Agent,AI Agent,hello-agents,8,3,1,5,1,61766,7617,1,61766.0,avatars/lll0807.jpg,"I am a master's student at Huaqiao University, specializing in video action understanding. My research focuses on online action detection, temporal modeling, an",福建省厦门市集美区集美大道668号,HUAQIAO UNIVERSITY
moyu026,,https://github.com/moyu026,AI Agent,AI Agent,hello-agents,8,0,2,22,1,61766,7617,1,61766.0,avatars/moyu026.jpg,,,
sadcoldpig,sadcoldpig,https://github.com/sadcoldpig,AI Agent,AI Agent,hello-agents,1,0,0,0,1,61766,7617,1,61766.0,avatars/sadcoldpig.jpg,,,
sjjjoaps,sjjjoaps,https://github.com/sjjjoaps,LLM;AI Agent,AI Agent,hello-agents;happy-llm,9,10,1,0,2,93325,10610,3,46662.5,avatars/sjjjoaps.jpg,,,
tino-chen,Tino Chen,https://github.com/tino-chen,AI Agent,AI Agent,hello-agents,6,3,0,0,1,61766,7617,1,61766.0,avatars/tino-chen.jpg,,,
xbsheng,,https://github.com/xbsheng,深度学习;机器学习;NLP;LLM;AI Agent,AI Agent,hello-agents;happy-llm,97,35,21,26,2,93325,10610,2,46662.5,avatars/xbsheng.jpg,,beijing,@didi
xujikai,,https://github.com/xujikai,AI Agent,AI Agent,hello-agents,13,0,0,0,1,61766,7617,1,61766.0,avatars/xujikai.jpg,,,
Sm1les,:)s,https://github.com/Sm1les,多模态;RAG;面试求职;框架教程;机器学习;AI工具;计算机视觉;数据竞赛;LLM;强化学习;全栈开发;大数据;AI Agent;编程基础,LLM,hello-agents;competition-baseline;easy-rl;daily-interview;pumpkin-book;llms-from-scratch-cn;llm-universe;self-dify;whale-quant;all-in-rag;llm-cookbook;machine-learning-toy-code;sweetalk-design-pattern;team-learning;intro-mathmodel;tiny-universe;joyrl-book;easy-vecdb;leedl-tutorial;handy-ollama;open-ai-general-course;agent-tutorial;juicy-bigdata;DOPMC;joyful-pandas;llm-deploy;wonderful-sql;llm-research;leetcode-notes;hugging-llm;awesome-compression;handy-multi-agent;key-book;powerful-numpy;sweetalk-data-structure;wow-fullstack;whale-paper;dive-into-cv-pytorch;hugging-multi-agent;llmbook;repo-template;leegenai-tutorial;office-automation;aima-notes;hugging-vis;what-is-vs;.github;free-excel;sora-tutorial;vced;paper-chart-tutorial;hands-on-llm;leeml-notes;whale-anno;fun-marl;udl-tutorial;hugging-audio;casual-inference;whale-coin;ai-programming;latex-template;deep-learning-for-computer-vision;suno-scan;cs25-notes;caublazer;whale-governance;whale-share,2,1,213,7,67,213709,34984,766,3189.69,avatars/Sm1les.jpg,这个时代最动人的诗意，是让微小的星光也能汇入照亮未知的银河。WeChat ID:at-Sm1les,Beijing,
939147533,,https://github.com/939147533,AI Agent,AI Agent,hello-agents,13,1,0,0,1,61766,7617,1,61766.0,avatars/939147533.jpg,,,
FrankTiao,Amy Johnson,https://github.com/FrankTiao,AI Agent,AI Agent,hello-agents,27,106,4,0,1,61766,7617,1,61766.0,avatars/FrankTiao.jpg,,,
Dlouxgit,,https://github.com/Dlouxgit,AI Agent,AI Agent,hello-agents,78,11,1,5,1,61766,7617,1,61766.0,avatars/Dlouxgit.jpg,,,
Ethanwhh,Ethanwhh,https://github.com/Ethanwhh,具身智能;AI Agent;LLM,AI Agent,hello-agents;every-embodied;post-training-of-llms,15,15,6,4,3,64397,7891,4,21465.67,avatars/Ethanwhh.jpg,,,Harbin Institute of Technology
Horoaw,Horoaw,https://github.com/Horoaw,AI Agent,AI Agent,hello-agents,24,16,4,1,1,61766,7617,1,61766.0,avatars/Horoaw.jpg,,,
limingzhong61,Nicolas,https://github.com/limingzhong61,数据库;AI Agent;前端开发,AI Agent,hello-agents,56,332,41,10,1,61766,7617,1,61766.0,avatars/limingzhong61.jpg,Yesterday you said tomorrow,Beijing China,
NikoHHHHHu,,https://github.com/NikoHHHHHu,AI Agent,AI Agent,hello-agents,0,0,0,0,1,61766,7617,1,61766.0,avatars/NikoHHHHHu.jpg,,,
pranavjana,Pranav Janakiraman,https://github.com/pranavjana,AI Agent,AI Agent,hello-agents,50,9,19,0,1,61766,7617,1,61766.0,avatars/pranavjana.jpg,Building cool stuff @ TinyFish,Singapore,TinyFIsh
upcuserleon,Sav1,https://github.com/upcuserleon,AI Agent,AI Agent,hello-agents,6,0,0,1,1,61766,7617,1,61766.0,avatars/upcuserleon.jpg,Beijing University of Posts and Telecommunications,,Beijing University of Posts and Telecommunications
want2sleeep,SleepSheep,https://github.com/want2sleeep,LLM;AI Agent,AI Agent,hello-agents;llm-universe,28,15,14,7,2,75097,8983,3,37548.5,avatars/want2sleeep.jpg,Keep learning.,"Chengdu, Sichuan Province, China",University of Electronic Science and Technology of China
Sonnet1219,Jiate Liu,https://github.com/Sonnet1219,AI Agent,AI Agent,hello-agents,18,10,3,2,1,61766,7617,1,61766.0,avatars/Sonnet1219.jpg,CHU ☁,,UNSW Computer Science and Engineering
stonezhl,"Lei ""Stone"" Zhang",https://github.com/stonezhl,AI Agent,AI Agent,hello-agents,14,72,23,18,1,61766,7617,1,61766.0,avatars/stonezhl.jpg,,Japan,@Drivemode
ThankUYou,ThankUYou,https://github.com/ThankUYou,AI Agent,AI Agent,hello-agents,4,0,0,0,1,61766,7617,1,61766.0,avatars/ThankUYou.jpg,,Shanghai,Wuhan University
WHQAQ11,,https://github.com/WHQAQ11,AI Agent,AI Agent,hello-agents,6,1,6,2,1,61766,7617,1,61766.0,avatars/WHQAQ11.jpg,,,
usernamedadad,Yang zeming,https://github.com/usernamedadad,AI Agent,AI Agent,hello-agents,6,4,2,3,1,61766,7617,1,61766.0,avatars/usernamedadad.jpg,,,
ZXJC-niusile,ZXJC,https://github.com/ZXJC-niusile,LLM;AI Agent,AI Agent,hello-agents;base-llm;easy-langent;start-mllm;hello-hexo-blog,12,8,12,15,5,63076,7782,71,12615.2,avatars/ZXJC-niusile.jpg,没问题,"Beijing,China",Beijing Information Science & Technology University
zerone-agent,Zero,https://github.com/zerone-agent,AI Agent,AI Agent,hello-agents,30,36,1,7,1,61766,7617,1,61766.0,avatars/zerone-agent.jpg,,Taiwan,
allen2000,Allen,https://github.com/allen2000,AI Agent,AI Agent,hello-agents,8,3,0,10,1,61766,7617,1,61766.0,avatars/allen2000.jpg,SDTE,China,H
sanbuphy,Sanbu 散步,https://github.com/sanbuphy,深度学习;框架教程;AI Agent;LLM;AI工具,AI工具,easy-vibe;self-llm;hello-claw;design-with-ai;openmmlab-tutorial,282,13682,971,196,5,50647,4913,648,10129.4,avatars/sanbuphy.jpg,Think Different @walkinglabs,Mars,
GeoDaoyu,,https://github.com/GeoDaoyu,AI工具,AI工具,easy-vibe;hello-claw,79,36,40,14,2,19452,1856,13,9726.0,avatars/GeoDaoyu.jpg,天道酬勤 事与愿违,"Chengdu,China",
Kinokinou,Kinou39,https://github.com/Kinokinou,AI工具,AI工具,easy-vibe,8,1,1,1,1,17322,1635,3,17322.0,avatars/Kinokinou.jpg,,,
octo-patch,Octopus,https://github.com/octo-patch,LLM;AI工具;AI Agent,AI工具,easy-vibe;self-llm;base-llm,1000,30,125,1,3,49232,4768,7,16410.67,avatars/octo-patch.jpg,AI developer focused on LLM agents & automation Open source contributor He/his/him,San Francisco,Independent Developer
SherryTECNU,Jenny (XJ-9),https://github.com/SherryTECNU,AI工具,AI工具,easy-vibe,5,0,8,0,1,17322,1635,3,17322.0,avatars/SherryTECNU.jpg,"Automate now, nap later.",,
kimyounghee425,YongHee,https://github.com/kimyounghee425,AI工具,AI工具,easy-vibe,15,2,22,29,1,17322,1635,3,17322.0,avatars/kimyounghee425.jpg,,"Seoul, Republic of Korea",Kookmin Univ
liusiyi77m,lsy77m,https://github.com/liusiyi77m,AI工具;AI Agent,AI工具,easy-vibe;hello-claw,17,1,3,2,2,19452,1856,5,9726.0,avatars/liusiyi77m.jpg,"Master’s student in Electronic Information at Tsinghua University. Interested in AI, agents, and intelligent systems.",,
Kartalops,KartalOps,https://github.com/Kartalops,AI工具;AI Agent,AI工具,easy-vibe,385,1,24,45,1,17322,1635,3,17322.0,avatars/Kartalops.jpg,DevOps & Product Architect building agentic systems,United Kingdom,Eagle Software Ltd.
liulx25xx,Tracy,https://github.com/liulx25xx,AI工具,AI工具,easy-vibe;hello-claw,6,1,8,7,2,19452,1856,5,9726.0,avatars/liulx25xx.jpg,A student from Tsinghua SIGS,,
yli000,yli,https://github.com/yli000,AI工具,AI工具,easy-vibe,6,0,2,2,1,17322,1635,2,17322.0,avatars/yli000.jpg,,,
Jrencat,Jren,https://github.com/Jrencat,AI工具;前端开发,AI工具,easy-vibe,5,4,0,0,1,17322,1635,2,17322.0,avatars/Jrencat.jpg,,,
Electricitysheep,Zhou Yuchen,https://github.com/Electricitysheep,深度学习;机器学习;RAG;人工智能;AI Agent;LLM;AI工具,AI工具,easy-vibe,19,24,4,4,1,17322,1635,2,17322.0,avatars/Electricitysheep.jpg,AI时代的拾荒者,,
ChileenZ,ChileenZ,https://github.com/ChileenZ,AI工具,AI工具,easy-vibe,5,1,0,1,1,17322,1635,2,17322.0,avatars/ChileenZ.jpg,,,
Binglin-Wu,Binglin Wu,https://github.com/Binglin-Wu,AI工具,AI工具,easy-vibe,5,0,0,1,1,17322,1635,1,17322.0,avatars/Binglin-Wu.jpg,,"Hangzhou, China",Dalian University of Technology
Bortlesboat,Andrew Barnes,https://github.com/Bortlesboat,数据库;AI Agent;LLM;AI工具;前端开发,AI工具,easy-vibe,301,20,94,102,1,17322,1635,1,17322.0,avatars/Bortlesboat.jpg,"Finance-native Python engineer building Bitcoin fee intelligence, x402/MCP payment tooling, and agent infrastructure.",Florida,EasyPost
githubhxd1995,Boyce Dinos,https://github.com/githubhxd1995,AI工具,AI工具,easy-vibe,27,4,15,111,1,17322,1635,1,17322.0,avatars/githubhxd1995.jpg,Hope is the best thing in universe,Asia,
FuTseYi,Shine,https://github.com/FuTseYi,数据库;计算机视觉;LLM;AI工具;前端开发,AI工具,easy-vibe;diy-llm;vibe-vibe;faster-git,12,104,29,41,4,24036,2239,33,6009.0,avatars/FuTseYi.jpg,Freiheit als Autonomie,Beijing,
longbiaochen,Longbiao CHEN,https://github.com/longbiaochen,AI工具,AI工具,easy-vibe,74,60,29,12,1,17322,1635,1,17322.0,avatars/longbiaochen.jpg,hic et ubique terrarum,"Paris, France","Sorbonne University, Zhejiang University, Xiamen University"
kuyua9,,https://github.com/kuyua9,AI工具,AI工具,easy-vibe,5,0,0,0,1,17322,1635,1,17322.0,avatars/kuyua9.jpg,,,
leftrk,leftrk,https://github.com/leftrk,数据库;AI工具,AI工具,easy-vibe,27,37,13,20,1,17322,1635,1,17322.0,avatars/leftrk.jpg,,,
runME,runME,https://github.com/runME,AI工具,AI工具,easy-vibe,106,2,18,84,1,17322,1635,1,17322.0,avatars/runME.jpg,"Stay hungry, Stay foolish",,
skyswordw,sky,https://github.com/skyswordw,AI工具;AI Agent,AI工具,easy-vibe,170,10,23,80,1,17322,1635,1,17322.0,avatars/skyswordw.jpg,,,
lzz-zzuli,sun,https://github.com/lzz-zzuli,LLM;AI工具;AI Agent,AI工具,easy-vibe,8,28,6,3,1,17322,1635,1,17322.0,avatars/lzz-zzuli.jpg,,,
zxz0119,,https://github.com/zxz0119,AI工具,AI工具,easy-vibe,26,81,2,1,1,17322,1635,1,17322.0,avatars/zxz0119.jpg,顺心而为,,
KurobaKaitou,Hanabi,https://github.com/KurobaKaitou,AI工具,AI工具,easy-vibe,8,5,9,21,1,17322,1635,1,17322.0,avatars/KurobaKaitou.jpg,,,
finlay-liu,Finlay,https://github.com/finlay-liu,深度学习;计算机视觉;NLP;数据竞赛;数据分析;数据科学,数据竞赛,competition-baseline;team-learning-data-mining;team-learning-nlp;team-learning-cv;coggle,21,594,301,86,5,7942,2321,456,1588.4,avatars/finlay-liu.jpg,,Beijing China,
bettenW,王贺,https://github.com/bettenW,数据竞赛;数据分析,数据竞赛,competition-baseline;team-learning-data-mining,34,979,566,20,2,6592,1910,33,3296.0,avatars/bettenW.jpg,鱼遇雨欲语与余,"China, Shanghai",算法专家
muxiaoxiong,牧小熊,https://github.com/muxiaoxiong,RAG;面试求职;机器学习;数据竞赛;数据分析;AI Agent;编程基础,AI Agent,competition-baseline;daily-interview;machine-learning-toy-code;team-learning-data-mining;easy-langent;easy-vecdb;members-visualization;DOPMC;office-automation;free-excel;team-learning-program;get-job,31,58,53,6,12,13736,3265,773,1144.67,avatars/muxiaoxiong.jpg,小熊同学今天也要开心,WuHan,Huazhong Agricultural University
anine09,Epsilon Luoo,https://github.com/anine09,LLM;AI工具;编程基础;数据竞赛,AI工具,competition-baseline;self-llm;intro-mathmodel;unlock-deepseek;learn-python-the-smart-way-v2;learn-python-the-smart-way;hugging-llm;aima-notes;ai-club,30,6,70,134,9,41325,4840,229,4591.67,avatars/anine09.jpg,"I`m an undergraduate student in Hubei University of Education, member of @datawhalechina. My research interests lie at AI for Materials Science(Deprecated).","Guangzhou, China",Steins Tech
turkeymz,,https://github.com/turkeymz,数据竞赛,数据竞赛,competition-baseline,31,1,1,0,1,4748,1089,1,4748.0,avatars/turkeymz.jpg,,,
yinpub,yinpub,https://github.com/yinpub,数据竞赛,数据竞赛,competition-baseline,12,3,2,7,1,4748,1089,1,4748.0,avatars/yinpub.jpg,Student email:hy247@duke.edu,,
yphacker,,https://github.com/yphacker,数据竞赛,数据竞赛,competition-baseline,30,63,18,13,1,4748,1089,1,4748.0,avatars/yphacker.jpg,Dont't let your dreams be dreams,,
CKL25,LCK,https://github.com/CKL25,AI Agent,AI Agent,Agent-Learning-Hub,3,8,0,1,1,4286,449,1,4286.0,avatars/CKL25.jpg,,,
zeroslope,,https://github.com/zeroslope,AI Agent,AI Agent,Agent-Learning-Hub,45,5,24,35,1,4286,449,1,4286.0,avatars/zeroslope.jpg,,Shanghai,
KMnO4-zx,不要葱姜蒜,https://github.com/KMnO4-zx,框架教程;AI Agent;LLM;全栈开发;AI工具,LLM,happy-llm;self-llm;llm-cookbook;tiny-universe;hello-rocm;d2l-ai-solutions-manual;wow-fullstack;llm-preview,119,2471,916,44,8,92994,9603,811,11624.25,avatars/KMnO4-zx.jpg,靡不有初，鲜克有终,"Hangzhou, China",
logan-zou,Logan Zou,https://github.com/logan-zou,LLM;框架教程;AI工具,LLM,happy-llm;self-llm;llms-from-scratch-cn;llm-universe;llm-cookbook;thorough-pytorch;tiny-universe;d2l-ai-solutions-manual;llm-preview,19,699,279,5,9,113814,12026,391,12646.0,avatars/logan-zou.jpg,,"Beijing, China",rednote
xinala-781,,https://github.com/xinala-781,LLM;计算机视觉,计算机视觉,happy-llm;yolo-master;hml-solutions;easy-linux;easy-dsp;easy-dip;ai-programming,4,1,4,0,7,32042,3072,170,4577.43,avatars/xinala-781.jpg,,,
Zeyi-Lin,Ze-Yi LIN,https://github.com/Zeyi-Lin,深度学习;机器学习;框架教程;NLP;LLM;AI工具,LLM,happy-llm;self-llm;hello-claw;thorough-pytorch,52,22441,693,81,4,68430,6803,30,17107.5,avatars/Zeyi-Lin.jpg,CPO@SwanLab; Ph.D. Student@XDU;,Beijing,EmotionMachine
MengYue-MK2000,Reagan Zhang,https://github.com/MengYue-MK2000,LLM,LLM,happy-llm,18,10,110,107,1,31559,2993,3,31559.0,avatars/MengYue-MK2000.jpg,"UoFT CS Specialist | Aspiring Machine Learning & Deep Learning Engineer | Python, Java, C, Nim, MySQL, R",Toronto,University of Toronto
ShaohonChen,Shaohon Chen,https://github.com/ShaohonChen,LLM,LLM,happy-llm,96,739,59,31,1,31559,2993,2,31559.0,avatars/ShaohonChen.jpg,a student of xidian university enjoy with dl,shaanxi china,Xidian University
CreekLou,louxuezheng,https://github.com/CreekLou,LLM,LLM,happy-llm,12,66,13,30,1,31559,2993,2,31559.0,avatars/CreekLou.jpg,,"Beijing,China",ByteDance
wasamtc,wasamtc,https://github.com/wasamtc,LLM,LLM,happy-llm,30,8,2,1,1,31559,2993,2,31559.0,avatars/wasamtc.jpg,A computer science student.,"Changsha City, Hunan Province.",Hunan University.
Hongru0306,Oneb1,https://github.com/Hongru0306,LLM;框架教程;AI工具,LLM,happy-llm;self-llm;llm-cookbook;tiny-universe;d2l-ai-solutions-manual,49,61,78,18,5,92442,9509,150,18488.4,avatars/Hongru0306.jpg,Sunk costs should not influence current decisions.,,
zxuuuustupid,Jusin,https://github.com/zxuuuustupid,LLM;AI Agent;深度学习;RAG,LLM,happy-llm,37,15,43,65,1,31559,2993,1,31559.0,avatars/zxuuuustupid.jpg,Dye the sky,"Chengdu,China","ReliaLab, UESTC"
Infinityay,inf Lu,https://github.com/Infinityay,LLM,LLM,happy-llm,33,159,0,1,1,31559,2993,1,31559.0,avatars/Infinityay.jpg,,,University of Chinese Academy of Science
